image_name,cell_num,difficult,gametocyte,red blood cell,ring,schizont,trophozoite
PA171710_0.JPG,0,0,0,1,0,0,0
PA171710_1.JPG,1,0,0,1,0,0,0
PA171710_2.JPG,2,0,0,1,0,0,0
PA171710_3.JPG,3,0,0,1,0,0,0
PA171710_4.JPG,4,0,0,1,0,0,0
PA171710_5.JPG,5,0,0,1,0,0,0
PA171710_6.JPG,6,0,0,1,0,0,0
PA171710_7.JPG,7,0,0,1,0,0,0
PA171710_8.JPG,8,0,0,1,0,0,0
PA171710_9.JPG,9,0,0,1,0,0,0
PA171710_10.JPG,10,0,0,1,0,0,0
PA171710_11.JPG,11,0,0,1,0,0,0
PA171710_12.JPG,12,0,0,1,0,0,0
PA171710_13.JPG,13,0,0,1,0,0,0
PA171710_14.JPG,14,0,0,1,0,0,0
PA171710_15.JPG,15,0,0,1,0,0,0
PA171710_16.JPG,16,0,0,1,0,0,0
PA171710_17.JPG,17,0,0,1,0,0,0
PA171710_18.JPG,18,0,0,1,0,0,0
PA171710_19.JPG,19,0,0,1,0,0,0
PA171710_20.JPG,20,0,0,1,0,0,0
PA171710_21.JPG,21,0,0,1,0,0,0
PA171710_22.JPG,22,0,0,1,0,0,0
PA171710_23.JPG,23,0,0,1,0,0,0
PA171710_24.JPG,24,0,0,1,0,0,0
PA171710_25.JPG,25,0,0,1,0,0,0
PA171710_26.JPG,26,0,0,1,0,0,0
PA171710_27.JPG,27,0,0,1,0,0,0
PA171710_28.JPG,28,0,0,1,0,0,0
PA171710_29.JPG,29,0,0,1,0,0,0
PA171710_30.JPG,30,0,0,1,0,0,0
PA171710_31.JPG,31,0,0,1,0,0,0
PA171710_32.JPG,32,0,0,1,0,0,0
PA171710_33.JPG,33,0,0,1,0,0,0
PA171710_34.JPG,34,0,0,1,0,0,0
PA171710_35.JPG,35,0,0,1,0,0,0
PA171710_36.JPG,36,0,0,1,0,0,0
PA171710_37.JPG,37,0,0,1,0,0,0
PA171710_38.JPG,38,0,0,1,0,0,0
PA171710_39.JPG,39,0,0,1,0,0,0
PA171710_40.JPG,40,0,0,1,0,0,0
PA171710_41.JPG,41,0,0,1,0,0,0
PA171710_42.JPG,42,0,0,1,0,0,0
